Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary,Sentiment_deepseek,risk_deepseek,risk_deepseekconf
2020-03-09,Crude Awakening: Energy Sector Takes A 20% Spill As Crude Price War Sends Oil To 4-Year Low,AAPL,https://www.benzinga.com/news/earnings/20/03/15512511/crude-awakening-energy-sector-takes-a-20-spill-as-crude-price-war-sends-oil-to-4-year-low,JJ Kinahan,,,,,,,3.0,3.0,0.5
2020-03-10,Morning Market Stats In 5 Minutes,AAPL,https://www.benzinga.com/news/20/03/15517906/morning-market-stats-in-5-minutes,Benzinga Newsdesk,,,,,,,3.0,,
2020-03-11,"As Market Gyrates, Investors Seek Direction From Large Stocks Including Apple, Microsoft",AAPL,https://www.benzinga.com/news/earnings/20/03/15527371/as-market-gyrates-investors-seek-direction-from-large-stocks-including-apple-microsoft,JJ Kinahan,,,,,,,3.0,,
2020-03-12,Selling Picks Up In Worst Day Since 1987 As Fear Continues To Drive Markets Lower,AAPL,https://www.benzinga.com/news/earnings/20/03/15543340/selling-picks-up-in-worst-day-since-1987-as-fear-continues-to-drive-markets-lower,JJ Kinahan,,,,,,,3.0,,
2020-03-13,88 Stocks Moving In Friday's Mid-Day Session,AAPL,https://www.benzinga.com/news/20/03/15549163/88-stocks-moving-in-fridays-mid-day-session,Lisa Levin,,,,,,,3.0,3.0,0.5
2020-03-14,"Barron's Picks And Pans: Roundtable Picks, Airline And Oil Stocks, And More",AAPL,https://www.benzinga.com/top-stories/20/03/15554245/barrons-picks-and-pans-roundtable-picks-airline-and-oil-stocks-and-more,Nelson Hem,,,,,,,3.0,,
2020-03-15,"Bulls And Bears Of The Week: Apple, Boeing, FANGs And More",AAPL,https://www.benzinga.com/trading-ideas/20/03/15554389/bulls-and-bears-of-the-week-apple-boeing-fangs-and-more,Nelson Hem,,,,,,,3.0,,
2020-03-16,95 Stocks Moving In Monday's Mid-Day Session,AAPL,https://www.benzinga.com/news/20/03/15560377/95-stocks-moving-in-mondays-mid-day-session,Lisa Levin,,,,,,,3.0,,
2020-03-17,"Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $328",AAPL,https://www.benzinga.com/news/20/03/15567841/morgan-stanley-maintains-overweight-on-apple-lowers-price-target-to-328,Vick Meyer,,,,,,,3.0,3.0,0.5
2020-03-18,Apple Unveils New iPad Pro And New MacBook Air,AAPL,https://www.benzinga.com/tech/20/03/15578515/apple-unveils-new-ipad-pro-and-new-macbook-air,Benzinga Newsdesk,,,,,,,3.0,,
2020-03-19,"Canaccord Genuity Maintains Buy on Apple, Lowers Price Target to $300",AAPL,https://www.benzinga.com/news/20/03/15605445/canaccord-genuity-maintains-buy-on-apple-lowers-price-target-to-300,Vick Meyer,,,,,,,3.0,,
2020-03-20,"Shares of several technology companies are trading higher. Market strength has been attributed to strong containment measures taken by California, rebound in oil, central bank actions and expectations of increased technology usage amid the virus outbreak.",AAPL,https://www.benzinga.com/wiim/20/03/15615669/shares-of-several-technology-companies-are-trading-higher-market-strength-has-been-attributed-to-str,Benzinga Newsdesk,,,,,,,3.0,,
2020-03-21,"Barron's Picks And Pans: Big Tech Picks, Bank Stocks Large and Small And More",AAPL,https://www.benzinga.com/media/20/03/15624203/barrons-picks-and-pans-big-tech-picks-bank-stocks-large-and-small-and-more,Nelson Hem,,,,,,,3.0,3.0,0.5
2020-03-23,"Nomura Instinet Maintains Neutral on Apple, Lowers Price Target to $225",AAPL,https://www.benzinga.com/news/20/03/15635461/nomura-instinet-maintains-neutral-on-apple-lowers-price-target-to-225,Vick Meyer,,,,,,,3.0,,
2020-03-24,75 Stocks Moving In Tuesday's Mid-Day Session,AAPL,https://www.benzinga.com/news/20/03/15653527/75-stocks-moving-in-tuesdays-mid-day-session,Lisa Levin,,,,,,,3.0,,
2020-03-25,"Tesla, Wayfair And Other Profitable Short Trades Could Get A Short Covering Boost",AAPL,https://www.benzinga.com/analyst-ratings/analyst-color/20/03/15662163/tesla-wayfair-and-other-profitable-short-trades-could-get-a-short-covering-boost,Wayne Duggan,,,,,,,3.0,,
2020-03-26,Roku Or Netflix – Which One Is Better In The Near Term?,AAPL,https://www.benzinga.com/trading-ideas/long-ideas/20/03/15672696/roku-or-netflix-which-one-is-better-in-the-near-term,IAM Newswire,,,,,,,3.0,3.0,0.5
2020-03-27,"1,000 Google Employees Volunteer To Help Expand Sister Company's Coronavirus Testing Program",AAPL,https://www.benzinga.com/news/20/03/15679476/1-000-google-employees-volunteer-to-help-expand-sister-companys-coronavirus-testing-program,Neer Varshney,,,,,,,3.0,,
2020-03-28,Options Trading: What Is It And How To Do It?,AAPL,https://www.benzinga.com/fintech/20/03/15690057/options-trading-what-is-it-and-how-to-do-it,Renato Capelj,,,,,,,3.0,,
2020-03-29,8 Best Investment Strategies During A Recession,AAPL,https://www.benzinga.com/trading-ideas/long-ideas/20/03/15653155/8-best-investment-strategies-during-a-recession,Wayne Duggan,,,,,,,3.0,,
2020-03-30,"UBS Maintains Buy on Apple, Lowers Price Target to $290",AAPL,https://www.benzinga.com/news/20/03/15694512/ubs-maintains-buy-on-apple-lowers-price-target-to-290,Vick Meyer,,,,,,,3.0,3.0,0.5
2020-03-31,Japan Display to Raise $200M by Selling Display Production Equipment to Overseas Client Said to be Apple,AAPL,https://www.benzinga.com/news/20/03/15703320/japan-display-to-raise-200m-by-selling-display-production-equipment-to-overseas-client-said-to-be-ap,Charles Gross,,,,,,,3.0,,
2020-04-01,Some Staples Stocks Bouncing Back After Sliding In Recent Rally As Caution Tightens Grip,AAPL,https://www.benzinga.com/news/20/04/15717446/some-staples-stocks-bouncing-back-after-sliding-in-recent-rally-as-caution-tightens-grip,JJ Kinahan,,,,,,,3.0,,
2020-04-02,Coronavirus Outbreak Updated: Keep Up With The Latest Headlines,AAPL,https://www.benzinga.com/general/biotech/20/03/15531371/coronavirus-outbreak-updated-keep-up-with-the-latest-headlines,Benzinga Staff,,,,,,,3.0,,
2020-04-03,"Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $298",AAPL,https://www.benzinga.com/news/20/04/15739309/morgan-stanley-maintains-overweight-on-apple-lowers-price-target-to-298,Vick Meyer,,,,,,,3.0,3.0,0.5
2020-04-04,Apple Said to be Likely Buyer of AR/VR Company NextVR for ~$100M,AAPL,https://www.benzinga.com/m-a/20/04/15745878/apple-said-to-be-likely-buyer-of-arvr-company-nextvr-for-100m,Charles Gross,,,,,,,3.0,,
2020-04-05,Apple To Make 1M Face Shields Per Week For Coronavirus Health Workers,AAPL,https://www.benzinga.com/news/20/04/15746199/apple-to-make-1m-face-shields-per-week-for-coronavirus-health-workers,Neer Varshney,,,,,,,3.0,,
2020-04-06,"3M, Trump Strike Deal To Import 166.5M Masks From China, Company To Continue To Supply Abroad",AAPL,https://www.benzinga.com/government/20/04/15753116/3m-trump-strike-deal-to-import-166-5m-masks-from-china-company-to-continue-to-supply-abroad,Neer Varshney,,,,,,,3.0,,
2020-04-07,Microsoft Hires ex-Apple Exec Caballero in Charge of Wireless for Hardware,AAPL,https://www.benzinga.com/news/20/04/15754629/microsoft-hires-ex-apple-exec-caballero-in-charge-of-wireless-for-hardware,Charles Gross,,,,,,,3.0,3.0,0.5
2020-04-08,Disney Shares Climb 7% As Video On Demand Service Crosses 50M Subscribers,AAPL,https://www.benzinga.com/news/20/04/15771566/disney-shares-climb-7-as-video-on-demand-service-crosses-50m-subscribers,Neer Varshney,,,,,,,3.0,3.0,0.5
2020-04-09,Communications Services Sector Earnings: When Staying In Becomes The Trend,AAPL,https://www.benzinga.com/news/earnings/20/04/15778930/communications-services-sector-earnings-when-staying-in-becomes-the-trend,JJ Kinahan,,,,,,,3.0,3.0,0.5
2020-04-11,"Benzinga's Bulls And Bears Of The Week: Apple, Disney, Intel And More",AAPL,https://www.benzinga.com/trading-ideas/long-ideas/20/04/15784941/benzingas-bulls-and-bears-of-the-week-apple-disney-intel-and-more,Nelson Hem,,,,,,,3.0,3.0,0.5
2020-04-12,"Apple's Stock Will Outperform Other FAANG Stocks In 2020, Long-Term Future 'Among The Brightest', Munster Says",AAPL,https://www.benzinga.com/news/earnings/20/04/15785586/apples-stock-will-outperform-other-faang-stocks-in-2020-long-term-future-among-the-brightest-munste,Neer Varshney,,,,,,,3.0,3.0,0.5
2020-04-13,Apple Reportedly Planning Major iPhone Design Overhaul For Fall Launches,AAPL,https://www.benzinga.com/news/20/04/15789683/apple-reportedly-planning-major-iphone-design-overhaul-for-fall-launches,Shanthi Rexaline,,,,,,,3.0,,
2020-04-14,Apple shares are trading higher after it was reported the company shipped 2.5 million iPhones in China in March.,AAPL,https://www.benzinga.com/wiim/20/04/15798393/apple-shares-are-trading-higher-after-it-was-reported-the-company-shipped-2-5-million-iphones-in-chi,Benzinga Newsdesk,,,,,,,3.0,,
2020-04-15,Every Member Of Trump's 'Great American Economic Revival' Industry Groups,AAPL,https://www.benzinga.com/news/20/04/15808727/every-member-of-trumps-great-american-economic-revival-industry-groups,Tanzeel Akhtar,,,,,,,3.0,,
2020-04-16,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $285",AAPL,https://www.benzinga.com/news/20/04/15820018/deutsche-bank-maintains-buy-on-apple-raises-price-target-to-285,Vick Meyer,,,,,,,3.0,3.0,0.5
2020-04-17,'Apple supplier Foxconn steps up semiconductor plans with deal to build a new base in Qingdao' -South China Morning Post,AAPL,https://www.benzinga.com/news/20/04/15830075/apple-supplier-foxconn-steps-up-semiconductor-plans-with-deal-to-build-a-new-base-in-qingdao-south-c,Benzinga Newsdesk,,,,,,,3.0,,
2020-04-18,Smart Option Trading CEO On Gaining An Edge With Options: 'They Show The Overall Sentiment',AAPL,https://www.benzinga.com/news/20/04/15836219/smart-option-trading-ceo-on-gaining-an-edge-with-options-they-show-the-overall-sentiment,Renato Capelj,,,,,,,3.0,,
2020-04-19,"Bulls And Bears Of The Week: Caterpillar, Facebook, Microsoft And More",AAPL,https://www.benzinga.com/trading-ideas/long-ideas/20/04/15836224/bulls-and-bears-of-the-week-caterpillar-facebook-microsoft-and-more,Nelson Hem,,,,,,,3.0,,
2020-04-20,"Halliburton, United, Among Key Names Reporting Results, With More Airlines Due Later In Week",AAPL,https://www.benzinga.com/news/earnings/20/04/15839777/halliburton-united-among-key-names-reporting-results-with-more-airlines-due-later-in-week,JJ Kinahan,,,,,,,3.0,3.0,0.5
2020-04-21,Tuesday's Market Minute: The Streaming Comeback Kid: Netflix,AAPL,https://www.benzinga.com/news/earnings/20/04/15848332/tuesdays-market-minute-the-streaming-comeback-kid-netflix,TD Ameritrade Network,,,,,,,3.0,,
